"city","state"
"Murrysville","PA"
"Munhall","PA"
"Chateauguay","QC"
"Mentor-on-the-Lake","OH"
"Presto","PA"
"Holland Landing","ON"
"Mont-Royal","QC"
"Squirrel Hill","PA"
"Saint-Jean-Sur-Richelieu","QC"
"Hampstead","QC"
"Richmond Height","OH"
"Île des Soeurs","QC"
"Fithian","IL"
"Vieux-Montréal","QC"
"Charlotte","SC"
"Mcmurray","PA"
"Beachwood","OH"
"110 Las Vegas","NV"
"Montreal-Quest","QC"
"University Heights","OH"
"Thorncliffe Park","ON"
"North Las Vegas","NV"
"Rostraver","PA"
"North Las Vegas ","NV"
"Sun City","AZ"
"Ville Saint Laurent","QC"
"AGINCOURT","ON"
"Kirtland","OH"
"SW Calgary","AB"
"Madison","OH"
"Las Vegas","FL"
"Northyork","ON"
"Markham, ON","ON"
"Kent","OH"
"Dravosburg","PA"
"Chomedey, Laval","QC"
"Bury","XGM"
"Bellvue","PA"
"North  York","ON"
"St-Clet","QC"
"peoria","AZ"
"Port Credit","ON"
"Peninsula","CA"
"De l'Eglise","QC"
"North York","ON"
"Cramerton","NC"
"L'ile-Bizard","QC"
"Blakeney","NC"
"Beaconsfield","QC"
"Pointe-aux-Trembles","QC"
"Cranberry Township","PA"
"Markham","ON"
"Mirabel","QC"
"Rosemère","QC"
"Arrowhead","AZ"
"Troy Township","OH"
"Phoenix ","AZ"
"Monreoville","PA"
"Brunswick","OH"
"Pittsburch","PA"
"Woodbridge","ON"
"Chandler","AL"
"Rockey View","AB"
"Henderston","NV"
"Pine","PA"
"Cave Creek","AZ"
"Cuyohoga Falls","OH"
"Saint-Bruno-de-Montarville","QC"
"Moon Twp","PA"
"Halton Hills","ON"
"Windsor","WI"
"La Salle","QC"
"Peters Township","PA"
"Lacolle","QC"
"Cave creek","AZ"
"Apache Junction","AZ"
"Ste-Dorothée","QC"
"Puyallup","WA"
"Venetia","PA"
"Montréal-Est","QC"
"Mentor","OH"
"Avondale","AZ"
"Alberta","AB"
"Dallas","NC"
"Tolono","IL"
"Greensboro","NC"
"Willowdale","ON"
"Pittsburg","PA"
"North york","ON"
"Braddock","PA"
"Le Haut-Saint-Laurent Regional County Municipality","QC"
"Harrisburg","NC"
"Pepper Pike","OH"
"East Mesa","AZ"
"Côte Saint-Luc","QC"
"Scottadale","CA"
"Rosemere","QC"
"Rocky View County","AB"
"Delson","QC"
"Pickering","ON"
"montreal","QC"
"St. Sauveur","QC"
"Newburgh Heights","OH"
"SURPRISE","AZ"
"South Hills","PA"
"Clinton","PA"
"Evergreen","AB"
"Concord","OH"
"Auburn","OH"
"Las Vegas","TX"
"Enterprise","NV"
"L'Assomption","QC"
"Sheffield Village","OH"
"San Diego","CA"
"Fisher","IL"
"Denver","NC"
"Norton","OH"
"Mesa AZ","AZ"
"McCandless","PA"
"L'assomption","QC"
"Mentor On the","OH"
"LaSalle","QC"
"Phx","AZ"
"Rocky View No. 44","AB"
"McKnight","PA"
"Montreal-Nord","QC"
"Henderson Nevada","AL"
"Mentor-On-The-Lake","OH"
"The Promenade","AZ"
"Sainte-Marguerite-du-lac-Masson","QC"
"Summerlin","NV"
"henderson","NV"
"Ste-Rose","QC"
"Anjou","QC"
"North Charlotte","NC"
"Downtown","AB"
"Westview","PA"
"N. Ridgeville","OH"
"Phoenix Metro Area","AZ"
"Lake Park","NC"
"cave creek","AZ"
"Bedford Heights","OH"
"Grove City","OH"
"Phoenix","TX"
"Monticello","IL"
"Leaside","ON"
"Upper St Clair","PA"
"boulder city","NV"
"Waddell","AZ"
"Urbana, Illinois","IL"
"Boulder City","NV"
"Montreal-Ouest","QC"
"Decatur","NV"
"Cuyahoga Fls","OH"
"West Lake","OH"
"Durham Regional Municipality","ON"
"Ahwatukee","AZ"
"Chateau","PA"
"Canonsburg","WA"
"Côte-Saint-Luc","QC"
"Lake Norman","NC"
"Bridgeville","PA"
"Tega Cay","SC"
"Locust","NC"
"Sainte-Adèle","QC"
"Spring Valley","NV"
"Auburn Township","OH"
"Saint-Hyacinthe","QC"
"Beltline","AB"
"Creighton","PA"
"Cleveland Height","OH"
"River Drive Park","ON"
"Clover","SC"
"New Glarus","WI"
"Tempe","AZ"
"Chander","AZ"
"Kirkland","WA"
"verdun","QC"
"Apache Trail","AZ"
"Yorkdale","ON"
"Indian Land","SC"
"Bedford","OH"
"Pointe-Aux-Trembles","QC"
"Sheffield Lake","OH"
"Fort  Mill","SC"
"CAVE CREEK","AZ"
"Yorkville","ON"
"Mississagua","ON"
"Green Tree","PA"
"Kettleby","ON"
"Regional Municipality of York","ON"
"Norval","ON"
"Wadsworth","OH"
"Char","NC"
"Darlington","SC"
"Mt. Washington","PA"
"Warrensville Hts","OH"
"Tolleson","AZ"
"Stow","OH"
"Hendserson","NV"
"Monongahela","PA"
"Laval, Ste Dorothee","QC"
"DeForest","WI"
"Northwest Calgary","AB"
"Perry Twp","OH"
"Valley View","OH"
"Saint-Léonard","QC"
"Duquesne","PA"
"GLENDALE","AZ"
"Coteau-du-Lac","QC"
"","AZ"
"Claremont","ON"
"Columbia Sta","OH"
"Fairview Park","OH"
"Vimont","QC"
"Spring Hill City View","PA"
"Hamilton","ON"
"Cecil","PA"
"Mattews","NC"
"Don Mills","ON"
"St-Bruno-de-Montarville","QC"
"Las Vegas Nevada","NV"
"Amherst","OH"
"Bay Village","OH"
"Fitchburg","WI"
"Surprise","CA"
"Fountain Hls","AZ"
"Gifford","IL"
"Stoughton","WI"
"Saint Leonard","QC"
"Las Vegas","NC"
"Bloomfield","PA"
"Burlington","ON"
"South Park","PA"
"Herminie","PA"
"Las Vegas & Henderson","NV"
"DENVER","NC"
"Salaberry-De-Valleyfield","QC"
"Forest Hills","PA"
"Rockyview County","AB"
"Saint-Pierre-de-Véronne-à-Pike-River","QC"
"Venise-en-Québec","QC"
"Villa Grove","IL"
"Buckeye","AZ"
"Point-Claire","QC"
"Pennsylvania","PA"
"Laval","QC"
"Stouffville","ON"
"Richfield","OH"
"Inglewood","ON"
"Charlotte ","NC"
"Lower Lawrenceville","PA"
"Ravenna","OH"
"Sacramento","CA"
"Sage Hill","AB"
"Las  Vegas","NV"
"etobicoke","ON"
"East Ajax","ON"
"Cleveland, OH","OH"
"Seven Hills","NV"
"Sainte-Madeleine","QC"
"Ansnorveldt","ON"
"Russellton","PA"
"Henderson","NV"
"South Park Township","PA"
"Huntsburg","OH"
"West Montréal","QC"
"Chesterland","OH"
"Lake Wylie","SC"
"Kleinburg","ON"
"Unionville","ON"
"Saint-Lazare","QC"
"Export","PA"
"Bedford Hts","OH"
"Laval, Pont Viau","QC"
"St-Jean-sur-Richelieu","QC"
"Maple Grove","QC"
"Tarentum","PA"
"Chagrin Falls","OH"
"Saint Joseph","IL"
"Lowell","NC"
"Dollard-Des-Ormeaux","QC"
"Lancaster","SC"
"St-Jerome","QC"
"Berea","OH"
"Ivesdale","IL"
"Varennes","QC"
"Northfield Center Township","OH"
"Concord Mills","NC"
"West View","PA"
"Northeast Calgary","AB"
"North Las Vegas","NY"
"Agincourt","ON"
"Tremont","OH"
"Rock Hill SC","SC"
"Montréal-Ouest","QC"
"Brookline","PA"
"Sutersville","PA"
"Sandy Ridge","NC"
"Laveen Village","AZ"
"Euclid","OH"
"Robinson Twp.","PA"
"Montreal","AB"
"Lake Mead","NV"
"Saint-Leonard","QC"
"Shaler Township","PA"
"Île-des-Soeurs","QC"
"Cooksville","ON"
"Mt Holly","NC"
"Farmington","CT"
"Phoeniix","AZ"
"Gilbert","CA"
"Las Vegas","AZ"
"Cottage Grove","WI"
"Rocky View","AB"
"Beachwood ","OH"
"Châteauguay","QC"
"East Gwilimbury","ON"
"Lyndhurst","OH"
"Toronto","ON"
"Tuscola","IL"
"Saint - Hyacinthe","QC"
"St-Leonard","QC"
"Marshall","WI"
"North Huntington","PA"
"Morin-Heights","QC"
"Pahrump","NV"
"South Euclid","OH"
"Fox Chapel","PA"
"Mayfield Heights.","OH"
"CARSON","PA"
"East Mississauga","ON"
"Warrenville","OH"
"Black Earth","WI"
"Central Oakland","PA"
"ETOBICOKE","ON"
"INDIAN LAND","SC"
"Sainte-Thérèse-de-Blainville","QC"
"Waxhaw","NC"
"Highland Hts","OH"
"South Amherst","OH"
"Cave Creek Road","AZ"
"Harwick","PA"
"Newbury","OH"
"Richmonhill","ON"
"Milford","OH"
"Hyland Heights","OH"
"Montéal","QC"
"University Hts ","OH"
"Bath","BAS"
"Las Vegas","NM"
"Downtown","PA"
"Mount Oliver","PA"
"Fabreville","QC"
"las Vegas","NV"
"Lawrenceville","PA"
"Church Cove","CON"
"Mc Adenville","NC"
"Geauga","OH"
"East Mc Keesport","PA"
"Mt. Holly","NC"
"Queen creek","AZ"
"Rankin","PA"
"Sainte-Thérèse","QC"
"Ashburn","ON"
"Longueuil","QC"
"Indian land","NC"
"North Royalton","OH"
"North Scottsdale","AZ"
"East Pittsburgh","PA"
"Bratenahl","OH"
"Beloeil","QC"
"Saint-Roch-de-l'Achigan","QC"
"Fort Mill","SC"
"Pheonix","AZ"
"Mt. Lebanon","PA"
"Phoenx","AZ"
"Scarobrough","ON"
"Joliet","IL"
"charlottte","NC"
"San Tan","AZ"
"Stallings","NC"
"Las Vegas ","NV"
"Deforest","WI"
"Swissvale","PA"
"Montville","OH"
"Upper St. Clair","PA"
"Brooklyn","WI"
"Las Vegas","NE"
"Sharon","ON"
"Regent Square","PA"
"Crescent","PA"
"North Olmsted","OH"
"GIlbert","AZ"
"Hendersonville","PA"
"Phoneix","AZ"
"Metro Phoenix","AZ"
"Mantua","OH"
"Tottenham","ON"
"Pierrefonds","QC"
"MESA","AZ"
"Township of Concord","OH"
"Uxbridge","ON"
"Cote-Saint-Luc","QC"
"Mayfield Hts","OH"
"St. Leonard","QC"
"Uptown","OH"
"Scottsdale","AZ"
"Cleveland","OH"
"Dewey","IL"
"moon","PA"
"Harrisburg,","NC"
"Brook Park","OH"
"GASTONIA","NC"
"L'Île-Perrot","QC"
"Richmond Heights","OH"
"Salaberry-de-Valleyfield","QC"
"Strongville","OH"
"Canonsburg","PA"
"Clairton","PA"
"Cleveland Hghts.","OH"
"Toronto-West","ON"
"Grafton","OH"
"Rillton","PA"
"Green Valley","NV"
"Painesville","OH"
"Harmar Township","PA"
"surprise","AZ"
"Brownsburg-Chatham","QC"
"Saint-Henri","QC"
"Bradford West Gwillimbury","ON"
"Citibank","NV"
"Bainbridge","OH"
"Tampa","FL"
"NORTH YORK","ON"
"Elyria","OH"
"Ingomar","PA"
"Mount Albert","ON"
"Highland Heights","OH"
"Old Port of Montreal","QC"
"Leeds","XWY"
"North Braddock","PA"
"Valencia","PA"
"King","ON"
"Leetsdale","PA"
"Blawnox","PA"
"TEMPE","AZ"
"Saint-Basile-Le-Grand","QC"
"Montréal","QC"
"Higley","AZ"
"Clark","NV"
"Oakwood","OH"
"Indianola","PA"
"Toronto-Etobicoke","ON"
"Orange Village","OH"
"charlotte","NC"
"Cleveland Heigh","OH"
"Middlefield","OH"
"Mcknight","PA"
"Nottingham Township","PA"
"Oshawa","ON"
"Fort mill","SC"
"Fitchburgh","WI"
"Etobiicoke","ON"
"Scottsale","AZ"
"Gilbert","AZ"
"MATTHEWS","NC"
"Aurora","OH"
"Cleveland Hts.","OH"
"Sainte-Geneviève","QC"
"Hudson","FL"
"Saint-Hippolyte","QC"
"Wilkens Township","PA"
"NEWMARKET","ON"
"W Henderson","NV"
"Fountain Hills","AZ"
"Rexdale","ON"
"CONCORD","NC"
"Sun Praiie","WI"
"Toronto Scarborough","ON"
"Mount Holly","NC"
"Monoroeville","PA"
"St Leonard","QC"
"Bentleyville","OH"
"Springdale","PA"
"University","NC"
"Scottsdale, AZ","AZ"
"lyndhurst","OH"
"Centennial Hills","NV"
"Laveen","AZ"
"Baldwin","PA"
"Stetson Valley","AZ"
"Brooklyn","OH"
"Charlemagne","QC"
"Guadalupe","AZ"
"Munroe Falls","OH"
"GILBERT","AZ"
"Westlake","OH"
"Warrensville Hts.","OH"
"McAdenville","NC"
"Fort McDowell","AZ"
"Québec","QC"
"Belleville","WI"
"San Tan Valley","AZ"
"Rock Hill","SC"
"Deux-Montagnes Regional County Municipality","QC"
"Oregon","WI"
"CAREFREE","AZ"
"Middleburg","OH"
"Le Sud-Ouest","QC"
"Las Vegas,","NV"
"York","ON"
"Bradford","ON"
"Union","NJ"
"Montral","QC"
"East Cleveland","OH"
"Port Vue","PA"
"York Regional Municipality","ON"
"Ballantyne","NC"
"Montreal-Est","QC"
"Las Vegas","CA"
"Dallas","TX"
"Sainte-Therese","QC"
"Columbus","WI"
"Robinson","PA"
"Surprise Crossing","AZ"
"Castle Shannon","PA"
"Upper Saint Clair","PA"
"Midland","NC"
"Banksville","PA"
"Bedford Hts.","OH"
"Otterburn Park","QC"
"Highland Hills","OH"
"CALGARY","AB"
"Huntersville","NC"
"CHARLOTTE","NC"
"Desert Ridge","AZ"
"Homestead","PA"
"Broadlands","IL"
"Etna","PA"
"Glendale Az","AZ"
"Westworld Scottsdale","AZ"
"Parma Heights","OH"
"mesa","AZ"
"Medicine Hat","AB"
"Nobleton","ON"
"Burton","OH"
"Noyan","QC"
"Elizabeth","PA"
"Pittsburgh ","PA"
"Ahwatukee Foothills Village","AZ"
"Gates Mills","OH"
"Dollard-Des Ormeaux","QC"
"Cote Saint-Luc","QC"
"Val-Morin","QC"
"Bellevue","PA"
"Pineville","NC"
"Olmsted Falls","OH"
"Belœil","QC"
"Las Vegas East","NV"
"East York","ON"
"Lachute","QC"
"Mascouche","QC"
"Coraopolis","PA"
"Parma mid birth","OH"
"Balzac","AB"
"MADISON","WI"
"Thomasboro","IL"
"Plum","PA"
"Oakwood Village","OH"
"Vegas","NV"
"markham","ON"
"glendale","AZ"
"Queen Creek","AK"
"Scarbrough","ON"
"Chandler-Gilbert","AZ"
"Shorewood Hills","WI"
"Medina","OH"
"CLEVELAND","OH"
"White Oak","PA"
"Rougemont","QC"
"Central City Village","AZ"
"Pittsburgh","VA"
"Chestermere","AB"
"Mount Lebanon","PA"
"Sagamore Hills","OH"
"Saint-Jerome","QC"
"Mcfarland","WI"
"Allison Park","PA"
"Downsview","ON"
"Streetsville","ON"
"Plum Boro","PA"
"Independence","OH"
"AZ","AZ"
"North Olmsted,","OH"
"Ambridge","PA"
"LasVegas","NV"
"Garrettsville","OH"
"Mesa","AZ"
"Concord Township","OH"
"Mont St-hilaire","QC"
"North Toronto","ON"
"Alburgh","VT"
"Georgetown","ON"
"Saint-Bernard-de-Lacolle","QC"
"Lower Burrell","PA"
"Pheonix AZ","AZ"
"McCandless Township","PA"
"GOODYEAR","AZ"
"Waunakee","WI"
"North Ridgeville","OH"
"Napierville","QC"
"Old Town Scottsdale","AZ"
"Finleyville","PA"
"TOLLESON","AZ"
"Avalon","PA"
"Ross Township","PA"
"Willowick","OH"
"Litchfield","AZ"
"Farnham","QC"
"Willoughby Hills","OH"
"Nellis","NV"
"Bradfordwoods","PA"
"Mesa Arizona","AZ"
"Pickering Ajax Whitby","ON"
"Median","OH"
